identifier,amount,execution-date,reference,category,account-of-receiver,account-of-creator
1353,152.75,2021-04-24T10:49:31.641890,thanks,transfer,DE98578335434393251543,DE10985785971549145687
1380,301.48,2020-06-16T10:49:31.641890,Rewe,supermarket,DE78690946739504309806,DE10985785971549145687
1430,987.57,2021-10-02T10:49:31.641890,hotels.com,vacation,DE20117978677399847042,DE10985785971549145687
1444,563.60,2020-02-09T10:49:31.641890,Aldi,supermarket,DE32132962269821718345,DE10985785971549145687
1463,442.53,2019-07-13T10:49:31.641890,Aldi,supermarket,DE77851065666584720184,DE10985785971549145687
1493,591.24,2022-01-31T10:49:31.641890,Aldi,supermarket,DE44305226222441557697,DE10985785971549145687
1580,380.90,2019-09-15T10:49:31.641890,Aldi,supermarket,DE77851065666584720184,DE10985785971549145687
1590,547.73,2020-11-02T10:49:31.641890,booking.com,vacation,DE70334119137743514093,DE10985785971549145687
1766,840.91,2020-07-04T10:49:31.641890,Vero Moda,clothes,DE70334119137743514093,DE10985785971549145687
1778,550.94,2021-02-20T10:49:31.641890,Esprit,clothes,DE77851065666584720184,DE10985785971549145687
1786,930.87,2021-09-10T10:49:31.641890,easyjet,vacation,DE67444719107381296569,DE10985785971549145687
1787,492.67,2020-01-29T10:49:31.641890,thanks,transfer,DE98578335434393251543,DE10985785971549145687
1827,698.18,2021-04-13T10:49:31.641890,S.Oliver,clothes,DE65403466947923029055,DE10985785971549145687
1839,495.23,2021-03-05T10:49:31.641890,easyjet,vacation,DE22170806079195028710,DE10985785971549145687
1847,479.92,2021-06-09T10:49:31.641870,Aldi,supermarket,DE29354508073743831293,DE10985785971549145687
1866,417.29,2021-09-27T10:49:31.641890,Vero Moda,clothes,DE92648558961468741310,DE10985785971549145687
1868,309.34,2021-12-28T10:49:31.641890,Aldi,supermarket,DE70334119137743514093,DE10985785971549145687
1926,959.70,2019-07-26T10:49:31.641890,Zalando,clothes,DE28571102327654896575,DE10985785971549145687
1981,334.19,2021-02-26T10:49:31.641890,thanks,transfer,DE46175649932131791856,DE10985785971549145687
68,762.40,2018-06-01T10:49:31.641806,ryanair,vacation,DE78690946739504309806,DE20117978677399847042
70,566.61,2019-11-04T10:49:31.642087,booking.com,vacation,DE50493093512418563495,DE20117978677399847042
89,307.20,2020-08-11T10:49:31.642023,Aldi,supermarket,DE27235503909700305654,DE20117978677399847042
98,202.71,2019-03-11T10:49:31.641784,Rewe,supermarket,DE76894768662419673111,DE20117978677399847042
119,136.63,2021-03-13T10:49:31.641848,ryanair,vacation,DE77851065666584720184,DE20117978677399847042
207,800.70,2020-03-05T10:49:31.642174,Vero Moda,clothes,DE33510125629974889896,DE20117978677399847042
257,879.15,2020-03-11T10:49:31.641784,S.Oliver,clothes,DE76894768662419673111,DE20117978677399847042
275,919.97,2020-09-29T10:49:31.642174,hotels.com,vacation,DE33510125629974889896,DE20117978677399847042
282,22.72,2018-12-12T10:49:31.641828,Edeka,supermarket,DE50139821739297986888,DE20117978677399847042
298,765.63,2018-05-25T10:49:31.641763,S.Oliver,clothes,DE70334119137743514093,DE20117978677399847042
323,686.10,2019-07-24T10:49:31.641981,Esprit,clothes,DE51728838437501118370,DE20117978677399847042
353,958.50,2019-01-21T10:49:31.642023,Esprit,clothes,DE27235503909700305654,DE20117978677399847042
368,797.41,2021-03-22T10:49:31.641958,easyjet,vacation,DE50561242036667643899,DE20117978677399847042
383,232.33,2018-01-30T10:49:31.642174,thanks,transfer,DE33510125629974889896,DE20117978677399847042
408,422.62,2017-06-08T10:49:31.642214,Esprit,clothes,DE92648558961468741310,DE20117978677399847042
449,566.85,2019-04-10T10:49:31.641937,thanks,transfer,DE67444719107381296569,DE20117978677399847042
508,281.56,2021-05-20T10:49:31.641890,Rewe,supermarket,DE10985785971549145687,DE20117978677399847042
511,367.43,2019-04-28T10:49:31.641806,booking.com,vacation,DE78690946739504309806,DE20117978677399847042
538,348.46,2017-11-18T10:49:31.641763,Esprit,clothes,DE70334119137743514093,DE20117978677399847042
575,870.23,2018-07-02T10:49:31.641937,Esprit,clothes,DE67444719107381296569,DE20117978677399847042
585,705.13,2019-01-09T10:49:31.642108,Pauly Saal,food,DE46175649932131791856,DE20117978677399847042
653,553.32,2020-06-10T10:49:31.642087,Cocolo Ramen,food,DE50493093512418563495,DE20117978677399847042
672,897.84,2021-10-11T10:49:31.641890,ryanair,vacation,DE10985785971549145687,DE20117978677399847042
714,954.91,2020-07-01T10:49:31.641784,CordoBar,food,DE76894768662419673111,DE20117978677399847042
763,383.63,2019-04-26T10:49:31.641784,thanks,transfer,DE76894768662419673111,DE20117978677399847042
772,816.97,2019-12-10T10:49:31.641916,Rewe,supermarket,DE93852973047302670654,DE20117978677399847042
806,35.70,2019-07-15T10:49:31.641721,Edeka,supermarket,DE82444435329779109646,DE20117978677399847042
807,863.87,2018-03-08T10:49:31.642129,Aldi,supermarket,DE65403466947923029055,DE20117978677399847042
865,454.31,2021-04-18T10:49:31.641958,Effing,food,DE50561242036667643899,DE20117978677399847042
870,313.58,2021-02-23T10:49:31.641721,Esprit,clothes,DE82444435329779109646,DE20117978677399847042
916,969.85,2017-10-14T10:49:31.641763,CordoBar,food,DE70334119137743514093,DE20117978677399847042
933,968.87,2021-01-08T10:49:31.642065,hotels.com,vacation,DE44305226222441557697,DE20117978677399847042
936,567.21,2019-06-24T10:49:31.641981,Pauly Saal,food,DE51728838437501118370,DE20117978677399847042
961,48.58,2019-11-23T10:49:31.642256,thanks,transfer,DE28254691836878919381,DE20117978677399847042
1070,54.53,2020-01-02T10:49:31.641848,S.Oliver,clothes,DE77851065666584720184,DE20117978677399847042
1097,152.20,2019-10-09T10:49:31.642174,Vero Moda,clothes,DE33510125629974889896,DE20117978677399847042
1196,914.49,2019-08-01T10:49:31.642235,Edeka,supermarket,DE98578335434393251543,DE20117978677399847042
1197,505.88,2022-02-15T10:49:31.642279,CordoBar,food,DE31852781254280985515,DE20117978677399847042
1229,10.12,2021-02-24T10:49:31.642108,Aldi,supermarket,DE46175649932131791856,DE20117978677399847042
1235,361.75,2019-05-28T10:49:31.642087,hotels.com,vacation,DE50493093512418563495,DE20117978677399847042
1239,169.87,2020-01-19T10:49:31.641958,S.Oliver,clothes,DE50561242036667643899,DE20117978677399847042
1272,833.19,2021-01-03T10:49:31.641870,thanks,transfer,DE29354508073743831293,DE20117978677399847042
1285,8.61,2019-06-24T10:49:31.641937,Lokal,food,DE67444719107381296569,DE20117978677399847042
1287,352.39,2019-11-03T10:49:31.642087,thanks,transfer,DE50493093512418563495,DE20117978677399847042
1288,194.74,2018-09-19T10:49:31.641784,Zeit für Brot,food,DE76894768662419673111,DE20117978677399847042
1302,835.20,2020-04-27T10:49:31.641937,Rewe,supermarket,DE67444719107381296569,DE20117978677399847042
1308,939.92,2018-12-23T10:49:31.642193,thanks,transfer,DE28571102327654896575,DE20117978677399847042
1312,141.51,2020-07-21T10:49:31.642000,Zalando,clothes,DE22170806079195028710,DE20117978677399847042
1328,921.63,2020-07-23T10:49:31.641784,ryanair,vacation,DE76894768662419673111,DE20117978677399847042
1342,477.46,2019-03-25T10:49:31.641937,Effing,food,DE67444719107381296569,DE20117978677399847042
1358,658.21,2020-04-08T10:49:31.641870,thanks,transfer,DE29354508073743831293,DE20117978677399847042
1384,335.34,2020-02-19T10:49:31.641870,thanks,transfer,DE29354508073743831293,DE20117978677399847042
1434,886.12,2020-06-14T10:49:31.642174,Aldi,supermarket,DE33510125629974889896,DE20117978677399847042
1436,709.62,2020-04-04T10:49:31.642000,S.Oliver,clothes,DE22170806079195028710,DE20117978677399847042
1438,379.50,2019-11-30T10:49:31.642108,easyjet,vacation,DE46175649932131791856,DE20117978677399847042
1445,74.29,2019-09-14T10:49:31.642000,easyjet,vacation,DE22170806079195028710,DE20117978677399847042
1489,510.43,2019-05-03T10:49:31.642087,Zur Letzten Instanz,food,DE50493093512418563495,DE20117978677399847042
1502,872.14,2020-05-24T10:49:31.642108,ryanair,vacation,DE46175649932131791856,DE20117978677399847042
1537,918.36,2021-01-19T10:49:31.642065,Pasta Bar,food,DE44305226222441557697,DE20117978677399847042
1538,606.20,2020-06-07T10:49:31.642023,booking.com,vacation,DE27235503909700305654,DE20117978677399847042
1612,562.32,2021-02-09T10:49:31.642256,thanks,transfer,DE28254691836878919381,DE20117978677399847042
1633,811.53,2019-09-12T10:49:31.641848,ryanair,vacation,DE77851065666584720184,DE20117978677399847042
1651,669.78,2019-08-21T10:49:31.641848,booking.com,vacation,DE77851065666584720184,DE20117978677399847042
1700,811.72,2018-01-31T10:49:31.642235,Edeka,supermarket,DE98578335434393251543,DE20117978677399847042
1749,264.39,2021-06-15T10:49:31.642256,hotels.com,vacation,DE28254691836878919381,DE20117978677399847042
1843,618.16,2018-09-27T10:49:31.641763,booking.com,vacation,DE70334119137743514093,DE20117978677399847042
1860,620.70,2019-09-30T10:49:31.641958,thanks,transfer,DE50561242036667643899,DE20117978677399847042
1924,816.53,2018-07-24T10:49:31.641981,Esprit,clothes,DE51728838437501118370,DE20117978677399847042
1956,156.25,2021-03-21T10:49:31.641870,Lokal,food,DE29354508073743831293,DE20117978677399847042
1970,593.28,2017-01-02T10:49:31.641806,booking.com,vacation,DE78690946739504309806,DE20117978677399847042
1987,509.44,2020-06-30T10:49:31.641916,hotels.com,vacation,DE93852973047302670654,DE20117978677399847042
28,873.57,2021-05-05T10:49:31.642000,thanks,transfer,DE27235503909700305654,DE22170806079195028710
45,579.29,2019-06-02T10:49:31.642000,Zalando,clothes,DE50493093512418563495,DE22170806079195028710
75,645.57,2021-04-11T10:49:31.642000,thanks,transfer,DE76894768662419673111,DE22170806079195028710
83,952.41,2020-01-26T10:49:31.641870,Rewe,supermarket,DE29354508073743831293,DE22170806079195028710
103,32.62,2020-04-18T10:49:31.641958,easyjet,vacation,DE50561242036667643899,DE22170806079195028710
111,532.63,2019-12-05T10:49:31.642000,Edeka,supermarket,DE92648558961468741310,DE22170806079195028710
113,467.78,2021-04-12T10:49:31.642000,booking.com,vacation,DE46175649932131791856,DE22170806079195028710
122,404.36,2021-06-18T10:49:31.642000,Lokal,food,DE46175649932131791856,DE22170806079195028710
141,122.75,2021-08-14T10:49:31.642000,booking.com,vacation,DE93852973047302670654,DE22170806079195028710
148,441.66,2019-06-30T10:49:31.641958,booking.com,vacation,DE50561242036667643899,DE22170806079195028710
248,531.29,2021-07-06T10:49:31.642000,Edeka,supermarket,DE28571102327654896575,DE22170806079195028710
290,159.52,2021-02-13T10:49:31.642279,Zeit für Brot,food,DE31852781254280985515,DE22170806079195028710
307,891.72,2019-12-28T10:49:31.641721,Aldi,supermarket,DE82444435329779109646,DE22170806079195028710
319,784.69,2020-03-11T10:49:31.642065,Aldi,supermarket,DE44305226222441557697,DE22170806079195028710
372,813.80,2019-12-04T10:49:31.642000,Edeka,supermarket,DE50139821739297986888,DE22170806079195028710
388,509.84,2020-07-24T10:49:31.642000,easyjet,vacation,DE65403466947923029055,DE22170806079195028710
416,456.98,2019-04-01T10:49:31.642000,ryanair,vacation,DE20117978677399847042,DE22170806079195028710
436,625.28,2020-08-11T10:49:31.642000,Esprit,clothes,DE28571102327654896575,DE22170806079195028710
453,327.30,2021-01-03T10:49:31.642000,Vero Moda,clothes,DE93852973047302670654,DE22170806079195028710
456,887.93,2019-12-17T10:49:31.642256,Rewe,supermarket,DE28254691836878919381,DE22170806079195028710
459,281.77,2019-08-12T10:49:31.642000,easyjet,vacation,DE27235503909700305654,DE22170806079195028710
586,962.83,2020-09-03T10:49:31.642000,Rewe,supermarket,DE92648558961468741310,DE22170806079195028710
634,446.40,2019-12-19T10:49:31.642279,Lokal,food,DE31852781254280985515,DE22170806079195028710
690,975.88,2019-06-05T10:49:31.642000,Pauly Saal,food,DE65403466947923029055,DE22170806079195028710
739,947.81,2019-04-18T10:49:31.642000,thanks,transfer,DE33510125629974889896,DE22170806079195028710
748,426.20,2020-04-30T10:49:31.642000,S.Oliver,clothes,DE98578335434393251543,DE22170806079195028710
799,828.64,2021-07-31T10:49:31.642000,S.Oliver,clothes,DE27235503909700305654,DE22170806079195028710
828,503.13,2020-11-17T10:49:31.642000,ryanair,vacation,DE50139821739297986888,DE22170806079195028710
840,990.84,2020-12-01T10:49:31.642000,Edeka,supermarket,DE28571102327654896575,DE22170806079195028710
846,950.87,2019-04-22T10:49:31.642000,thanks,transfer,DE28571102327654896575,DE22170806079195028710
888,873.68,2019-07-15T10:49:31.642065,S.Oliver,clothes,DE44305226222441557697,DE22170806079195028710
922,799.37,2020-02-03T10:49:31.641870,thanks,transfer,DE29354508073743831293,DE22170806079195028710
927,763.77,2019-01-21T10:49:31.642000,thanks,transfer,DE77851065666584720184,DE22170806079195028710
945,73.87,2020-06-01T10:49:31.642000,Lokal,food,DE27235503909700305654,DE22170806079195028710
968,462.41,2019-07-08T10:49:31.642000,easyjet,vacation,DE51728838437501118370,DE22170806079195028710
981,638.90,2019-09-16T10:49:31.642000,Pauly Saal,food,DE50139821739297986888,DE22170806079195028710
1007,946.56,2021-01-14T10:49:31.642000,Edeka,supermarket,DE78690946739504309806,DE22170806079195028710
1042,655.26,2021-08-10T10:49:31.642000,Zalando,clothes,DE50139821739297986888,DE22170806079195028710
1079,953.23,2019-07-29T10:49:31.641958,Zur Letzten Instanz,food,DE50561242036667643899,DE22170806079195028710
1084,900.34,2021-03-21T10:49:31.641890,thanks,transfer,DE10985785971549145687,DE22170806079195028710
1108,156.65,2021-05-24T10:49:31.642000,easyjet,vacation,DE28571102327654896575,DE22170806079195028710
1130,312.94,2019-01-02T10:49:31.642000,Pasta Bar,food,DE50493093512418563495,DE22170806079195028710
1135,458.31,2020-09-05T10:49:31.642000,Vero Moda,clothes,DE98578335434393251543,DE22170806079195028710
1161,301.20,2020-10-20T10:49:31.642065,Rewe,supermarket,DE44305226222441557697,DE22170806079195028710
1219,562.77,2020-11-01T10:49:31.642000,Rewe,supermarket,DE93852973047302670654,DE22170806079195028710
1303,563.29,2021-07-10T10:49:31.641890,thanks,transfer,DE10985785971549145687,DE22170806079195028710
1322,674.60,2019-01-30T10:49:31.642000,thanks,transfer,DE93852973047302670654,DE22170806079195028710
1324,12.91,2019-09-04T10:49:31.641890,Rewe,supermarket,DE10985785971549145687,DE22170806079195028710
1346,601.36,2019-10-13T10:49:31.642000,Zur Letzten Instanz,food,DE32132962269821718345,DE22170806079195028710
1350,411.96,2020-06-18T10:49:31.642000,Cocolo Ramen,food,DE92648558961468741310,DE22170806079195028710
1365,32.61,2019-08-17T10:49:31.642000,booking.com,vacation,DE32132962269821718345,DE22170806079195028710
1454,480.70,2018-12-27T10:49:31.641958,easyjet,vacation,DE50561242036667643899,DE22170806079195028710
1589,571.28,2019-05-16T10:49:31.642000,Edeka,supermarket,DE77851065666584720184,DE22170806079195028710
1591,528.42,2020-02-16T10:49:31.642000,thanks,transfer,DE67444719107381296569,DE22170806079195028710
1597,923.28,2021-04-15T10:49:31.642000,ryanair,vacation,DE98578335434393251543,DE22170806079195028710
1624,174.28,2019-05-27T10:49:31.642000,Lokal,food,DE67444719107381296569,DE22170806079195028710
1660,219.60,2020-12-08T10:49:31.642256,thanks,transfer,DE28254691836878919381,DE22170806079195028710
1661,258.25,2020-04-16T10:49:31.642000,thanks,transfer,DE92648558961468741310,DE22170806079195028710
1671,664.85,2020-09-22T10:49:31.642000,Pasta Bar,food,DE78690946739504309806,DE22170806079195028710
1684,270.43,2022-01-03T10:49:31.642279,easyjet,vacation,DE31852781254280985515,DE22170806079195028710
1818,819.50,2020-03-04T10:49:31.642000,hotels.com,vacation,DE46175649932131791856,DE22170806079195028710
1854,114.37,2020-01-22T10:49:31.642000,Aldi,supermarket,DE50493093512418563495,DE22170806079195028710
1856,8.19,2020-07-06T10:49:31.642256,thanks,transfer,DE28254691836878919381,DE22170806079195028710
1875,968.61,2021-06-28T10:49:31.641958,Vero Moda,clothes,DE50561242036667643899,DE22170806079195028710
1894,243.70,2019-09-13T10:49:31.642000,hotels.com,vacation,DE20117978677399847042,DE22170806079195028710
1895,294.18,2019-04-24T10:49:31.642000,Pasta Bar,food,DE51728838437501118370,DE22170806079195028710
1911,707.90,2021-08-26T10:49:31.642000,Pasta Bar,food,DE98578335434393251543,DE22170806079195028710
1913,86.39,2020-09-23T10:49:31.642000,Vero Moda,clothes,DE50493093512418563495,DE22170806079195028710
1943,67.38,2022-03-06T10:49:31.642256,hotels.com,vacation,DE28254691836878919381,DE22170806079195028710
14,898.28,2021-11-26T10:49:31.642065,thanks,transfer,DE44305226222441557697,DE27235503909700305654
101,757.48,2020-08-31T10:49:31.642023,hotels.com,vacation,DE98578335434393251543,DE27235503909700305654
105,953.15,2020-07-09T10:49:31.642023,Vero Moda,clothes,DE93852973047302670654,DE27235503909700305654
120,704.80,2021-07-11T10:49:31.641890,easyjet,vacation,DE10985785971549145687,DE27235503909700305654
138,545.13,2021-05-26T10:49:31.642023,Aldi,supermarket,DE28571102327654896575,DE27235503909700305654
179,127.41,2019-12-24T10:49:31.642023,thanks,transfer,DE65403466947923029055,DE27235503909700305654
191,970.28,2019-02-27T10:49:31.642023,Cocolo Ramen,food,DE20117978677399847042,DE27235503909700305654
259,499.63,2020-09-25T10:49:31.642023,Aldi,supermarket,DE50493093512418563495,DE27235503909700305654
269,733.55,2020-01-20T10:49:31.641890,Lokal,food,DE10985785971549145687,DE27235503909700305654
350,396.53,2020-05-24T10:49:31.642023,Effing,food,DE77851065666584720184,DE27235503909700305654
367,207.70,2019-11-01T10:49:31.642023,thanks,transfer,DE46175649932131791856,DE27235503909700305654
386,323.14,2019-10-15T10:49:31.642023,Esprit,clothes,DE67444719107381296569,DE27235503909700305654
440,599.45,2020-06-09T10:49:31.642023,thanks,transfer,DE33510125629974889896,DE27235503909700305654
479,883.86,2019-06-01T10:49:31.642023,thanks,transfer,DE76894768662419673111,DE27235503909700305654
573,627.46,2021-05-12T10:49:31.641958,Zalando,clothes,DE50561242036667643899,DE27235503909700305654
582,345.93,2020-12-22T10:49:31.642023,thanks,transfer,DE27235503909700305654,DE27235503909700305654
668,935.25,2019-01-23T10:49:31.642023,Edeka,supermarket,DE27235503909700305654,DE27235503909700305654
684,481.88,2019-12-23T10:49:31.642065,Cocolo Ramen,food,DE44305226222441557697,DE27235503909700305654
687,932.78,2019-06-01T10:49:31.642023,Zalando,clothes,DE50493093512418563495,DE27235503909700305654
693,83.63,2021-05-31T10:49:31.642023,thanks,transfer,DE50493093512418563495,DE27235503909700305654
728,238.41,2020-12-03T10:49:31.642023,Cocolo Ramen,food,DE76894768662419673111,DE27235503909700305654
789,843.48,2020-07-28T10:49:31.642023,booking.com,vacation,DE67444719107381296569,DE27235503909700305654
826,708.14,2021-01-16T10:49:31.642023,hotels.com,vacation,DE33510125629974889896,DE27235503909700305654
847,167.68,2020-12-31T10:49:31.642065,CordoBar,food,DE44305226222441557697,DE27235503909700305654
862,774.65,2020-02-02T10:49:31.642023,thanks,transfer,DE93852973047302670654,DE27235503909700305654
866,593.12,2019-11-19T10:49:31.641721,thanks,transfer,DE82444435329779109646,DE27235503909700305654
869,392.45,2020-05-03T10:49:31.642023,Vero Moda,clothes,DE76894768662419673111,DE27235503909700305654
920,437.25,2019-08-13T10:49:31.642023,hotels.com,vacation,DE76894768662419673111,DE27235503909700305654
943,111.32,2021-06-06T10:49:31.642023,easyjet,vacation,DE93852973047302670654,DE27235503909700305654
993,269.84,2022-02-21T10:49:31.641870,thanks,transfer,DE29354508073743831293,DE27235503909700305654
998,657.85,2020-11-02T10:49:31.642023,hotels.com,vacation,DE27235503909700305654,DE27235503909700305654
1023,886.21,2021-06-13T10:49:31.641958,Vero Moda,clothes,DE50561242036667643899,DE27235503909700305654
1041,866.72,2021-07-06T10:49:31.641958,Esprit,clothes,DE50561242036667643899,DE27235503909700305654
1074,624.41,2021-04-12T10:49:31.642023,CordoBar,food,DE93852973047302670654,DE27235503909700305654
1136,635.18,2020-11-07T10:49:31.642023,Aldi,supermarket,DE20117978677399847042,DE27235503909700305654
1141,239.95,2022-01-06T10:49:31.642065,S.Oliver,clothes,DE44305226222441557697,DE27235503909700305654
1231,96.24,2021-03-15T10:49:31.642023,Edeka,supermarket,DE76894768662419673111,DE27235503909700305654
1251,611.93,2019-09-13T10:49:31.642023,thanks,transfer,DE51728838437501118370,DE27235503909700305654
1259,116.97,2020-09-23T10:49:31.642256,Rewe,supermarket,DE28254691836878919381,DE27235503909700305654
1268,138.72,2020-07-26T10:49:31.642023,ryanair,vacation,DE32132962269821718345,DE27235503909700305654
1301,240.64,2020-04-06T10:49:31.642023,CordoBar,food,DE20117978677399847042,DE27235503909700305654
1381,873.39,2021-10-30T10:49:31.642065,Pasta Bar,food,DE44305226222441557697,DE27235503909700305654
1403,383.94,2018-10-19T10:49:31.642023,booking.com,vacation,DE67444719107381296569,DE27235503909700305654
1419,122.64,2020-10-15T10:49:31.642023,thanks,transfer,DE28571102327654896575,DE27235503909700305654
1461,652.62,2019-08-17T10:49:31.642023,ryanair,vacation,DE20117978677399847042,DE27235503909700305654
1485,524.61,2020-11-05T10:49:31.642023,easyjet,vacation,DE33510125629974889896,DE27235503909700305654
1488,238.92,2021-08-30T10:49:31.642065,Rewe,supermarket,DE44305226222441557697,DE27235503909700305654
1492,572.36,2019-07-28T10:49:31.641870,Vero Moda,clothes,DE29354508073743831293,DE27235503909700305654
1526,253.41,2019-03-04T10:49:31.642023,hotels.com,vacation,DE65403466947923029055,DE27235503909700305654
1528,526.40,2019-05-08T10:49:31.641721,thanks,transfer,DE82444435329779109646,DE27235503909700305654
1547,495.51,2019-10-01T10:49:31.642023,Esprit,clothes,DE78690946739504309806,DE27235503909700305654
1606,108.71,2020-11-09T10:49:31.642023,Vero Moda,clothes,DE32132962269821718345,DE27235503909700305654
1630,896.43,2021-04-21T10:49:31.642023,Rewe,supermarket,DE65403466947923029055,DE27235503909700305654
